id,year,season,ha,added,tonnes,baskets,revenue,prod,logistics,lease,insurance,contingency,mgmt,da,ebit,tax,npat,capex
C1,1,Regular,1,1,20.0,400.0,13200000.0,3400000.0,360000.0,1337500.0,261400.0,170000.0,420000.0,375000.0,6876100.0,2337874.0,4538226.0,0.0
C2,1,Peak,3,2,54.0,1080.0,156600000.0,11400000.0,972000.0,1512500.0,446580.0,570000.0,420000.0,541666.6666666666,140737253.33333334,47850666.13333334,92886587.2,2000000.0
C3,2,Regular,15,12,300.0,6000.0,198000000.0,53121600.00000001,6048000.000000001,2870000.0,1489152.0000000002,2656080.0000000005,3696000.0000000005,2041666.6666666667,126077501.33333331,42866350.453333326,83211150.88,18000000.0
C4,2,Peak,27,12,486.0,9720.0,1409400000.0,98824320.00000001,9797760.000000002,4046000.0000000005,2566972.8000000003,4941216.000000001,3696000.0000000005,3708333.3333333335,1281819397.8666666,435818595.27466667,846000802.5919999,20000000.0
C5,3,Regular,72,45,1440.0,28800.0,883872000.0,245661696.00000003,32514048.000000004,9470720.000000002,6349271.040000001,12283084.800000003,19568640.000000004,10791666.666666666,547232873.4933332,186059176.9877333,361173696.5055999,85000000.0
C6,3,Peak,100,28,1800.0,36000.0,4854600000.0,381337600.00000006,40642560.00000001,12544000.000000002,9465702.400000002,19066880.000000004,19568640.000000004,13125000.0,4358849617.6,1482008869.9840002,2876840747.616,28000000.0
C7,4,Regular,100,0,2000.0,40000.0,1227600000.0,382140416.0000001,50577408.000000015,14049280.000000004,9778298.880000003,19107020.80000001,21916876.800000004,13125000.0,716905699.5199999,243747937.83679998,473157761.6831999,0.0
C8,4,Peak,100,0,1800.0,36000.0,4854600000.0,427098112.0000001,45519667.20000001,14049280.000000004,10601586.688000001,21354905.60000001,21916876.800000004,13125000.0,4300934571.712,1462317754.38208,2838616817.32992,0.0
C9,5,Regular,100,0,2000.0,40000.0,1227600000.0,427997265.92000014,56646696.96000002,15735193.600000005,10951694.745600004,21399863.296000008,24546902.01600001,13125000.0,657197383.4623998,223447110.37721595,433750273.08518386,0.0
C10,5,Peak,100,0,1800.0,36000.0,4854600000.0,478349885.4400002,50982027.26400002,15735193.600000005,11873777.090560004,23917494.27200001,24546902.01600001,13125000.0,4236069720.31744,1440263704.9079297,2795806015.4095106,0.0
