year,label,roll_t,melt_t,revenue,ebitda,npat,capex,fcf,dscr,npat_margin
1,Y1 2028,0.0,0.0,0,-2813600000,-5322400000,44800000000,-47613600000,-1.121,0.0000
2,Y2 2029,67500.0,0.0,66825000000,6489025000,-650530556,19200000000,-24695803623,1.811,-0.0097
3,Y3 2030,112500.0,0.0,111375000000,12721375000,3790055403,0,2417023671,1.578,0.0340
4,Y4 2031,132000.0,0.0,130680000000,14978020000,3441079958,49200000000,-41078844511,1.382,0.0263
5,Y5 2032,135000.0,100000.0,133650000000,35708857600,10465699988,73800000000,-44267744480,2.405,0.0783
6,Y6 2033,138000.0,160000.0,148712720000,47828017896,18554396329,0,34322403718,2.152,0.1248
7,Y7 2034,138000.0,180000.0,162912720000,50984684059,21410009704,0,35502199221,2.407,0.1314
8,Y8 2035,138000.0,180000.0,162912720000,50771906193,21977770582,0,37661832638,2.522,0.1349
9,Y9 2036,138000.0,180000.0,162912720000,50546361654,22536862891,0,37508687896,2.649,0.1383
10,Y10 2037,138000.0,180000.0,162912720000,50307284442,23086766514,0,37346354470,2.790,0.1417
