year,label,roll_t,melt_t,revenue,ebitda,npat,capex,fcf,dscr,npat_margin
1,Y1 2028,0.0,0.0,0,-3259200000,-6617100000,57400000000,-60659200000,-0.971,0.0000
2,Y2 2029,60000.0,0.0,59400000000,4090400000,-5262155556,24600000000,-30964394521,0.853,-0.0886
3,Y3 2030,105000.0,0.0,103950000000,9687480000,227413698,0,199036363,0.957,0.0022
4,Y4 2031,127500.0,0.0,126225000000,12366479600,2372170726,0,5938625037,1.282,0.0188
5,Y5 2032,132000.0,0.0,130680000000,12707051172,2929135124,0,9306311490,1.386,0.0224
6,Y6 2033,135000.0,0.0,133650000000,12837255154,3343259927,0,9656089857,1.478,0.0250
7,Y7 2034,135000.0,0.0,133650000000,12562355015,3482319033,0,9992172388,1.530,0.0261
8,Y8 2035,135000.0,0.0,133650000000,12268211866,3608312135,0,9792449190,1.587,0.0270
9,Y9 2036,135000.0,0.0,133650000000,11953478696,3720324613,0,9578745368,1.649,0.0278
10,Y10 2037,135000.0,0.0,133650000000,11616714205,3817377823,0,9350082279,1.716,0.0286
