year,label,roll_t,melt_t,revenue,ebitda,npat,capex,fcf,dscr,npat_margin
1,Y1 2028,0.0,0.0,0,-2982200000,-6039800000,54600000000,-57582200000,-0.975,0.0000
2,Y2 2029,75000.0,0.0,81000000000,16342000000,5188012667,23400000000,-22898118986,3.741,0.0640
3,Y3 2030,120000.0,0.0,129600000000,27963040000,13078698827,0,13186701968,2.845,0.1009
4,Y4 2031,135000.0,0.0,145800000000,31285358400,12975639120,61600000000,-41363309044,2.352,0.0890
5,Y5 2032,460000.0,120000.0,496800000000,134251759904,65249722608,167400000000,-119288050231,5.889,0.1313
6,Y6 2033,460000.0,170000.0,496800000000,141529813498,66624394499,75000000000,28701441311,3.822,0.1341
7,Y7 2034,460000.0,180000.0,496800000000,142921050308,68451676393,0,103909652748,2.104,0.1378
8,Y8 2035,460000.0,900000.0,810145600000,264765370127,137542452149,139500000000,8645485357,3.651,0.1698
9,Y9 2036,460000.0,900000.0,810145600000,263337303806,132129690718,170500000000,19963679284,3.330,0.1631
10,Y10 2037,460000.0,900000.0,810145600000,263088663507,134811238054,0,190294852521,3.514,0.1664
