year,label,roll_t,melt_t,revenue,ebitda,npat,capex,fcf,dscr,npat_margin
1,Y1 2028,0.0,0.0,0,-3259200000,-6617100000,57400000000,-60659200000,-0.971,0.0000
2,Y2 2029,60000.0,0.0,59400000000,4090400000,-5262155556,24600000000,-30964394521,0.853,-0.0886
3,Y3 2030,105000.0,0.0,103950000000,9687480000,227413698,0,199036363,0.957,0.0022
4,Y4 2031,127500.0,0.0,126225000000,11844879600,-1293925956,65200000000,-59615541363,0.851,-0.0103
5,Y5 2032,132000.0,90000.0,130680000000,24003051172,-3293554384,97800000000,-76329052113,1.234,-0.0252
6,Y6 2033,135000.0,150000.0,140849400000,32098857554,3118173057,0,25119137407,1.127,0.0221
7,Y7 2034,135000.0,176000.0,159309400000,34350117415,5608185919,0,24117701757,1.269,0.0352
8,Y8 2035,135000.0,176000.0,159309400000,34055974266,6369870138,0,27354964860,1.328,0.0400
9,Y9 2036,135000.0,176000.0,159309400000,33741241096,7117573732,0,27141261038,1.392,0.0447
10,Y10 2037,135000.0,176000.0,159309400000,33404476605,7850318059,0,26912597948,1.464,0.0493
