year,label,roll_t,melt_t,revenue,ebitda,npat,capex,fcf,dscr,npat_margin
1,Y1 2028,0.0,0.0,0,-5275200000,-11726400000,67200000000,-72475200000,-0.818,0.0000
2,Y2 2029,42000.0,0.0,34440000000,-12922200000,-27471533333,28800000000,-50756917808,-1.402,-0.7977
3,Y3 2030,63000.0,0.0,51660000000,-16767300000,-31316633333,0,-21284658904,-1.120,-0.6062
4,Y4 2031,72000.0,0.0,59040000000,-19717400000,-39297133333,62000000000,-83653410959,-0.986,-0.6656
5,Y5 2032,75000.0,30000.0,61500000000,-21647720000,-56983853333,93000000000,-115177988493,-0.773,-0.9266
6,Y6 2033,75000.0,56000.0,61500000000,-21742642000,-56157175333,0,-21642915973,-0.624,-0.9131
7,Y7 2034,72000.0,64000.0,59040000000,-21775756200,-54028689533,0,-21099734282,-0.666,-0.9151
8,Y8 2035,67500.0,64000.0,55350000000,-21794861820,-51886195153,0,-20826856341,-0.714,-0.9374
9,Y9 2036,67500.0,60000.0,55350000000,-22693323002,-50623056335,0,-22708665468,-0.800,-0.9146
10,Y10 2037,67500.0,60000.0,55350000000,-23593630302,-49361763636,0,-23593630302,-0.901,-0.8918
