year,label,roll_t,melt_t,revenue,ebitda,npat,capex,fcf,dscr,npat_margin
1,Y1 2028,0.0,0.0,0,-2982200000,-6039800000,54600000000,-57582200000,-0.975,0.0000
2,Y2 2029,75000.0,0.0,81000000000,16342000000,5188012667,23400000000,-22898118986,3.741,0.0640
3,Y3 2030,120000.0,0.0,129600000000,27963040000,13078698827,0,13186701968,2.845,0.1009
4,Y4 2031,135000.0,0.0,145800000000,31285358400,12975639120,61600000000,-41363309044,2.352,0.0890
5,Y5 2032,276000.0,120000.0,298080000000,86345479904,37471001210,126400000000,-82874720944,4.241,0.1257
6,Y6 2033,276000.0,170000.0,298080000000,93910533498,40891839601,34000000000,35905616857,2.947,0.1372
7,Y7 2034,276000.0,180000.0,298080000000,95301770308,42719121495,0,70113828295,2.270,0.1433
8,Y8 2035,276000.0,360000.0,352887360000,124952896607,59378166701,42750000000,42261475627,2.951,0.1683
9,Y9 2036,276000.0,360000.0,352887360000,124352580286,58315350870,52250000000,38929968681,2.871,0.1653
10,Y10 2037,276000.0,360000.0,352887360000,124103939987,59726421306,0,91011141918,3.028,0.1693
