year,scale,gross,opex,ebitda,npat,fcf,ebitda_margin
1,0.55,528039600.00000006,338647441.6,189392158.40000004,70000933.55360003,156298933.5536,0.3586703694192633
2,0.8,768057600.0,382630129.6,385427470.4,203108910.4016,289406910.4016,0.5018210488380038
3,1.0,960072000.0,417816280.0,542255720.0,309595291.88,395893291.88,0.5648073477822496
4,1.0,960072000.0,417816280.0,542255720.0,309595291.88,395893291.88,0.5648073477822496
5,1.0,960072000.0,417816280.0,542255720.0,309595291.88,395893291.88,0.5648073477822496
6,1.0,960072000.0,417816280.0,542255720.0,309595291.88,395893291.88,0.5648073477822496
7,1.0,960072000.0,417816280.0,542255720.0,309595291.88,395893291.88,0.5648073477822496
8,1.0,960072000.0,417816280.0,542255720.0,309595291.88,395893291.88,0.5648073477822496
9,1.0,960072000.0,417816280.0,542255720.0,309595291.88,395893291.88,0.5648073477822496
10,1.0,960072000.0,417816280.0,542255720.0,309595291.88,4554016019.52384,0.5648073477822496
